"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"VGAM","VGAM","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1-12",NA,"R (>= 4.1.0), methods, stats, stats4, splines",NA,NA,"VGAMextra, MASS, mgcv","VGAMdata","GPL-3",NA,NA,NA,NA,"yes","4.4.2"
"vipor","vipor","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.7",NA,"R (>= 3.5.0)","stats, graphics",NA,"testthat, beeswarm, lattice, ggplot2, beanplot, vioplot,
ggbeeswarm,",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"viridis","viridis","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6.5",NA,"R (>= 2.10), viridisLite (>= 0.4.0)","ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, httr, mapproj, vdiffr, svglite (>= 1.2.0),
testthat, covr, rmarkdown, maps, terra",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"viridisLite","viridisLite","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.2",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"vroom","vroom","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6.5",NA,"R (>= 3.6)","bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle (>=
1.0.3), methods, rlang (>= 0.4.2), stats, tibble (>= 2.0.0),
tidyselect, tzdb (>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.1), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"waldo","waldo","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6.1",NA,"R (>= 4.0)","cli, diffobj (>= 0.3.4), glue, methods, rlang (>= 1.1.0)",NA,"bit64, R6, S7, testthat (>= 3.0.0), withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"warp","warp","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.1",NA,"R (>= 3.2)",NA,NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"whisker","whisker","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.1",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"withr","withr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.0.2",NA,"R (>= 3.6.0)","graphics, grDevices",NA,"callr, DBI, knitr, methods, rlang, rmarkdown (>= 2.12),
RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"wk","wk","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9.4",NA,"R (>= 2.10)",NA,NA,"testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"writexl","writexl","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.1",NA,NA,NA,NA,"spelling, readxl, nycflights13, testthat, bit64",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"xfun","xfun","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.49",NA,"R (>= 3.2.0)","grDevices, stats, tools",NA,"testit, parallel, codetools, methods, rstudioapi, tinytex (>=
0.30), mime, litedown, commonmark, knitr (>= 1.47), remotes,
pak, rhub, renv, curl, xml2, jsonlite, magick, yaml, qs,
rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"xgboost","xgboost","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.7.8.1",NA,"R (>= 3.3.0)","Matrix (>= 1.1-0), methods, data.table (>= 1.9.6), jsonlite
(>= 1.0),",NA,"knitr, rmarkdown, ggplot2 (>= 1.0.1), DiagrammeR (>= 0.9.0),
Ckmeans.1d.dp (>= 3.3.1), vcd (>= 1.3), testthat, lintr, igraph
(>= 1.0.1), float, crayon, titanic",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"XML","XML","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.99-0.17",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"xml2","xml2","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3.6",NA,"R (>= 3.6.0)","cli, methods, rlang (>= 1.1.0)",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"xmlparsedata","xmlparsedata","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.5",NA,"R (>= 3.0.0)",NA,NA,"covr, testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"xopen","xopen","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.1",NA,"R (>= 3.1)","processx",NA,"ps, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"xtable","xtable","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"XVector","XVector","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.46.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9)","methods, utils, tools, zlibbioc, BiocGenerics, S4Vectors,
IRanges","S4Vectors, IRanges","Biostrings, drosophila2probe, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"yaml","yaml","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.3.10",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"zip","zip","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.3.1",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"zlibbioc","zlibbioc","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.52.0",NA,NA,NA,NA,"BiocStyle, knitr",NA,"Artistic-2.0 + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"zoo","zoo","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8-12",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"base","base","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,NA,NA,"methods","chron, date, round","Part of R 4.4.1",NA,NA,NA,NA,NA,"4.4.1"
"boot.1","boot","C:/Program Files/R/R-4.4.1/library","1.3-30","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.4.1"
"class.1","class","C:/Program Files/R/R-4.4.1/library","7.3-22","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"cluster.1","cluster","C:/Program Files/R/R-4.4.1/library","2.1.6","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix","mvoutlier, fpc, ellipse, sfsmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"codetools.1","codetools","C:/Program Files/R/R-4.4.1/library","0.2-20","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.4.1"
"compiler","compiler","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,NA,NA,NA,NA,"Part of R 4.4.1",NA,NA,NA,NA,NA,"4.4.1"
"datasets","datasets","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,NA,NA,NA,NA,"Part of R 4.4.1",NA,NA,NA,NA,NA,"4.4.1"
"foreign.1","foreign","C:/Program Files/R/R-4.4.1/library","0.8-86","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"graphics","graphics","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,"grDevices",NA,NA,"vcd","Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"grDevices","grDevices","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"grid","grid","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"KernSmooth.1","KernSmooth","C:/Program Files/R/R-4.4.1/library","2.23-24","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.4.1"
"lattice.1","lattice","C:/Program Files/R/R-4.4.1/library","0.22-6","recommended","R (>= 4.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra, colorspace","chron, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"MASS.1","MASS","C:/Program Files/R/R-4.4.1/library","7.3-60.2","recommended","R (>= 4.4.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"Matrix.1","Matrix","C:/Program Files/R/R-4.4.1/library","1.7-0","recommended","R (>= 4.4.0), methods","grDevices, graphics, grid, lattice, stats, utils",NA,"MASS, datasets, sfsmisc, tools","SparseM, graph","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.4.1"
"methods","methods","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"mgcv.1","mgcv","C:/Program Files/R/R-4.4.1/library","1.9-1","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"nlme.1","nlme","C:/Program Files/R/R-4.4.1/library","3.1-164","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"nnet.1","nnet","C:/Program Files/R/R-4.4.1/library","7.3-19","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"parallel","parallel","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,"tools, compiler",NA,"methods","snow, Rmpi","Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"rpart.1","rpart","C:/Program Files/R/R-4.4.1/library","4.1.23","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"spatial.1","spatial","C:/Program Files/R/R-4.4.1/library","7.3-17","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"splines","splines","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"stats","stats","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4","Kendall, coin, multcomp, pcaPP, pspearman, robustbase","Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"stats4","stats4","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.4.1",NA,NA,NA,NA,NA,"4.4.1"
"survival.1","survival","C:/Program Files/R/R-4.4.1/library","3.6-4","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"tcltk","tcltk","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,"utils",NA,NA,NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"tools","tools","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark, knitr, xfun,
mathjaxr, V8",NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"translations","translations","C:/Program Files/R/R-4.4.1/library","4.4.1",NA,NA,NA,NA,NA,NA,"Part of R 4.4.1",NA,NA,NA,NA,NA,"4.4.1"
"utils","utils","C:/Program Files/R/R-4.4.1/library","4.4.1","base",NA,NA,NA,"methods, xml2, commonmark, knitr, jsonlite",NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
